Title,Price,Link,Rating
Habitación compartida en Barcelona,35 € ,https://www.airbnb.es/rooms/34296498?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-06&source_impression_id=p3_1730399223_P3qVcDLSre6UWvN2&previous_page_section_name=1000,"4,41 (1124)"
Apartamento en Pineda de Mar,57 € ,https://www.airbnb.es/rooms/45217774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730399223_P3JgwlWmHJvBvllU&previous_page_section_name=1000,"4,96 (147)"
Apartamento en Castelldefels,75 € ,https://www.airbnb.es/rooms/21711501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730399223_P39mavj-VVYuK_z6&previous_page_section_name=1000,"4,77 (1241)"
Habitación en Barcelona,47 € ,https://www.airbnb.es/rooms/1218645303173234166?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971156620&search_mode=regular_search&check_in=2025-01-07&check_out=2025-01-12&source_impression_id=p3_1730399223_P3GqmwBVNPXKeuxM&previous_page_section_name=1000,"4,94 (16)"
Apartamento en Barcelona,65 € ,https://www.airbnb.es/rooms/22035355?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730399223_P3mmkhYSvDuRofYv&previous_page_section_name=1000,"4,64 (141)"
Habitación en Barcelona,38 € ,https://www.airbnb.es/rooms/661475984265403325?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1436799013&search_mode=regular_search&check_in=2024-12-11&check_out=2024-12-16&source_impression_id=p3_1730399223_P3ejpcLTGmdu0agy&previous_page_section_name=1000,"4,96 (71)"
Apartamento en Pineda de Mar,57 € ,https://www.airbnb.es/rooms/1027537475203411096?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730399223_P3x7nZa-XFY-vI3h&previous_page_section_name=1000,"4,91 (47)"
Habitación en Barcelona,31 € ,https://www.airbnb.es/rooms/1167927143759339825?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1918858382&search_mode=regular_search&check_in=2024-11-15&check_out=2024-11-22&source_impression_id=p3_1730399223_P3pDwvZmpxDXVja3&previous_page_section_name=1000,"5,0 (7)"
Habitación en Barcelona,44 € ,https://www.airbnb.es/rooms/884049537215668089?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1643861225&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730399223_P3keh-5IajmPAcEB&previous_page_section_name=1000,"4,75 (60)"
Habitación en Barcelona,32 € ,https://www.airbnb.es/rooms/36339224?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=818405107&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730399223_P3hnfKvsDa0TRPZH&previous_page_section_name=1000,"4,66 (118)"
